Goal,X,Y,C,Distance,Angle
1,0,47,3.0,1.95,-0.0
1,18,33,17.0,21.893206708931423,0.28864440517234924
1,5,49,1.0,5.2900850654786264,1.2079676869865599
1,9,35,15.0,13.578107379160027,0.3844644915514975
1,14,64,14.0,17.288724649319857,0.3604273826581395
1,5,43,7.0,6.947301634447723,0.8339361238945006
1,3,47,3.0,3.704726710568541,1.5565115842075001
1,6,54,4.0,6.815423684555495,0.9489061410934956
1,4,59,9.0,7.201562330494682,0.6742728322518933
1,16,51,1.0,16.812569702457743,0.428417211508841
1,11,30,20.0,17.38972397710786,0.28459853384550277
1,15,56,6.0,16.225674100018157,0.4322830591810525
1,12,41,9.0,13.891814136389819,0.4744514361613353
1,9,65,15.0,13.578107379160027,0.3844644915514975
1,12,47,3.0,12.75,0.5537770359226951
1,9,62,12.0,12.253264871045593,0.4683200303619614
1,9,40,10.0,11.469633821530659,0.5296462355461417
1,22,49,1.0,23.10914321215739,0.31403211774890216
1,8,49,1.0,8.425111275229545,0.8181481818662021
1,13,52,2.0,13.711765021323842,0.5197369931737656
1,3,58,8.0,6.079679267856159,0.7744838280818499
1,4,52,2.0,4.396589587396122,1.3801151693681342
1,22,33,17.0,25.60688384009269,0.2574128756042204
1,12,45,5.0,13.012397934277908,0.5341519416725077
1,7,49,1.0,7.378685519792803,0.9190449283339781
1,2,48,2.0,2.4698178070456938,2.0139208395155817
1,3,38,12.0,8.412044935685971,0.38217689414903444
1,3,54,4.0,4.084421623681865,1.429201045967813
1,8,58,8.0,9.879271228182775,0.6307232983623592
1,6,57,7.0,7.771261158911081,0.7759378875324093
1,8,30,20.0,15.477725931156682,0.2654567711126684
1,11,60,10.0,13.253395791267987,0.4803553470515795
1,8,50,0.0,8.4,0.8218212603970589
1,7,58,8.0,9.003471552684553,0.6717464204924444
1,8,42,8.0,9.879271228182775,0.6307232983623592
1,11,69,19.0,16.909316958410827,0.3008128276935503
1,9,48,2.0,9.538998899255622,0.7280729606989255
1,26,67,17.0,29.4515279739439,0.22986488972463084
1,4,39,11.0,8.292315719990405,0.5068860882826423
1,7,56,6.0,8.320606949015197,0.7668402757191194
1,20,48,2.0,21.040199618824914,0.34385123486521907
1,14,59,9.0,15.821267332296738,0.42632836199012014
1,1,63,13.0,8.514986788010889,0.12930458385188293
1,10,52,2.0,10.580170130957253,0.662397068973353
1,2,52,2.0,2.4698178070456938,2.0139208395155817
1,13,61,11.0,15.409250468468608,0.41949264517163204
1,9,47,3.0,9.649093221645233,0.7147531635553958
1,24,66,16.0,27.26169473822198,0.2475728667132947
1,11,65,15.0,15.115058716392735,0.37455292140405577
1,10,57,7.0,11.44344790699027,0.5790496767581794
1,11,50,0.0,11.55,0.6137460607827115
1,21,58,8.0,22.654855991597035,0.31234119842074864
1,10,38,12.0,13.080137613954985,0.45351561115002464
1,9,58,8.0,10.786218058244511,0.591643556025191
1,10,38,12.0,13.080137613954985,0.45351561115002464
1,7,45,5.0,8.036479328661276,0.8102769720462943
1,10,68,18.0,15.720687007888682,0.31768371181991284
1,10,41,9.0,12.019671376539376,0.5303396409372803
1,12,50,0.0,12.6,0.5653932311874568
1,11,29,21.0,17.880855684222723,0.2692928913160728
1,14,45,5.0,15.05498256392215,0.46730053223534024
1,21,61,11.0,23.180271784429102,0.2988423003378373
1,5,52,2.0,5.408558033339386,1.179460127203922
1,4,51,1.0,4.25,1.4201477008546248
1,8,43,7.0,9.553140844769327,0.6684012104010006
1,14,59,9.0,15.821267332296738,0.42632836199012014
1,11,41,9.0,12.947007376224052,0.5014474542557615
1,10,67,17.0,15.243113199081087,0.33759032764216496
1,13,44,6.0,14.196214284097012,0.4882107094937715
1,7,47,3.0,7.604275113381945,0.8805236779631288
1,19,35,15.0,22.20506698931575,0.29553177312558315
1,9,33,17.0,14.53977303811858,0.3360930094197185
1,5,36,14.0,10.505831713862543,0.37729531977152453
1,8,37,13.0,11.914801718870523,0.44610227378018025
1,12,39,11.0,14.487322043773307,0.4388737084624515
1,3,42,8.0,6.079679267856159,0.7744838280818499
1,12,55,5.0,13.012397934277908,0.5341519416725077
1,18,38,12.0,20.446271053666482,0.32943325020506264
1,7,30,20.0,14.933937859787685,0.2512332492285382
1,8,45,5.0,9.006802984411284,0.7371524997587747
1,15,14,36.0,28.206781099586674,0.14633337676191166
1,11,58,8.0,12.66658991204815,0.5218037806113346
1,11,59,9.0,12.947007376224052,0.5014474542557615
1,10,38,12.0,13.080137613954985,0.45351561115002464
1,18,50,0.0,18.9,0.3825663330715834
1,9,36,14.0,13.119165369793917,0.41101006673332774
1,11,44,6.0,12.190672663967318,0.5587877543959542
1,26,58,8.0,27.790825824361537,0.2574671749562088
1,3,49,1.0,3.2163644072150777,1.70233357190678
1,4,49,1.0,4.25,1.4201477008546248
1,6,32,18.0,13.28834075421006,0.2754185537241036
1,3,50,0.0,3.15,1.7202969881575096
1,26,28,22.0,30.818500936937216,0.2102581673068978
1,15,33,17.0,19.239672554386157,0.31255764826376803
1,7,67,17.0,13.271209439986997,0.3193088176827172
1,5,53,3.0,5.600446410778341,1.1334130108600122
1,7,47,3.0,7.604275113381945,0.8805236779631288
1,9,69,19.0,15.550723455839602,0.29404598468395515
1,6,66,16.0,12.159358535712318,0.3304128075433245
